ZIP File,Permissions,File System,Network,Rendering,User Interaction
geeeidfokchloicghifcjmgnfleicpmd_1.02.zip,"[""activeTab"", ""scripting"", ""http://localhost:5000/"", ""runtime"", ""identity"", ""identity.email""]",{},"{""fetch"": 13}","{""document.createElement"": 55, ""setTimeout"": 48, ""document.getElementById"": 22, ""document.querySelector"": 6}","{""addEventListener"": 63}"
pigjfndpomdldkmoaiiigpbncemhjeca_1.0.9.zip,"[""https://amiunique.org/*"", ""storage""]",{},"{""new XMLHttpRequest"": 3}","{""document.createElement"": 28, ""setTimeout"": 25, ""document.getElementById"": 19, ""setInterval"": 5, ""document.querySelector"": 4, ""canvas.getContext"": 3, ""chrome.tabs.create"": 3}","{""addEventListener"": 148}"
lkgmpikmhmmodogooogipngnkihjhlpe_1.5.2.zip,[],{},{},"{""setTimeout"": 9, ""document.querySelector"": 3, ""document.getElementById"": 3, ""chrome.tabs.create"": 1}","{""addEventListener"": 12}"
haakpflnidjehklpfeipfkhejoeaodni_1.1.zip,"[""tabs"", ""cookies""]","{""document.cookie"": 4}","{""fetch"": 4, ""new XMLHttpRequest"": 1}","{""setTimeout"": 7, ""document.createElement"": 4, ""document.querySelector"": 4, ""setInterval"": 2}","{""addEventListener"": 22, ""chrome.tabs.onActivated.addListener"": 1}"
dcjfbgppfdokmjgajnnkgdmkdeiloigh_2.4.0.zip,[],{},{},"{""document.querySelector"": 13, ""chrome.tabs.create"": 2, ""document.createElement"": 2, ""canvas.getContext"": 1}","{""addEventListener"": 8}"
mhipobioahbjppfjeaephclfiolapfnn_1.0.zip,[],{},{},"{""document.createElement"": 7, ""document.querySelector"": 4, ""setInterval"": 1}","{""addEventListener"": 3}"
ggepgkhamjfdkccfhnlehfnpgmceldfp_1.1.0.zip,"[""storage""]",{},"{""fetch"": 8}","{""document.querySelector"": 4, ""document.createElement"": 2, ""setTimeout"": 1, ""setInterval"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 2}"
hbbfimlkfnndaplmlaabapdodpjfplkb_1.1.0.zip,"[""tabs"", ""storage"", ""webNavigation"", ""management""]",{},"{""fetch"": 14}","{""setTimeout"": 12, ""document.createElement"": 10, ""setInterval"": 1, ""document.querySelector"": 1}","{""addEventListener"": 9}"
dahlapnnflgogjncfekgjdfopcafiigb_1.0.5.zip,"[""cookies"", ""storage""]","{""document.querySelector('input[type=\""file\""]')"": 1}","{""fetch"": 3}","{""document.getElementById"": 25, ""document.querySelector"": 5, ""window.open"": 2, ""chrome.tabs.create"": 1, ""setTimeout"": 1}","{""addEventListener"": 12}"
naedodplkghehbefblmepndhpokdjobi_1.7.2.zip,"[""*://*.google.com/*""]",{},{},"{""setTimeout"": 11, ""chrome.tabs.create"": 1, ""window.open"": 1}","{""addEventListener"": 8}"
dlmalncnijcnncdlbegheleheodlpbki_1.0.2.zip,"[""storage"", ""tabs"", ""webNavigation"", ""http://localhost:3000/*"", ""https://mailshunt.com/*"", ""*://*.mailshunt.com/*""]","{""document.cookie"": 2, ""new Blob"": 1, ""localStorage.setItem"": 1, ""localStorage.getItem"": 1}","{""fetch"": 4, ""new XMLHttpRequest"": 1}","{""setTimeout"": 30, ""document.createElement"": 15, ""document.querySelector"": 9, ""element.style"": 4, ""document.getElementById"": 3, ""chrome.tabs.executeScript"": 1, ""chrome.tabs.create"": 1}","{""addEventListener"": 20}"
ddmocnhdkbmfjaebcbpkpihjlfbkmche_1.0.zip,[],"{""localStorage.setItem"": 1, ""localStorage.getItem"": 1, ""document.cookie"": 1}","{""fetch"": 17, ""new XMLHttpRequest"": 1}","{""setTimeout"": 17, ""document.createElement"": 9, ""setInterval"": 6, ""document.querySelector"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 34}"
kchgnmcbdpkkapdfageddohanpjjkojf_1.1.zip,"[""geolocation""]",{},"{""fetch"": 1}","{""document.getElementById"": 4}","{""addEventListener"": 1}"
acmpjjngokeeflpfhpfednklkfcijfgi_1.20.zip,"[""storage""]","{""new Blob"": 1}","{""fetch"": 4}","{""document.getElementById"": 3, ""document.createElement"": 2, ""document.querySelector"": 2, ""setInterval"": 1, ""canvas.getContext"": 1}","{""addEventListener"": 3}"
paahhjdpigllblaeihghghihfhmamefl_1.2.0.zip,"[""activeTab"", ""storage""]",{},{},"{""document.createElement"": 10, ""document.querySelector"": 4, ""document.getElementById"": 2}","{""addEventListener"": 5}"
johdiakedgljbckccbcaiejhhocaoali_0.1.4.zip,"[""topSites"", ""geolocation""]","{""localStorage.getItem"": 3, ""localStorage.setItem"": 1}","{""fetch"": 20}","{""setTimeout"": 39, ""setInterval"": 17, ""document.createElement"": 16, ""document.querySelector"": 16, ""document.getElementById"": 7}","{""addEventListener"": 53}"
glenpcbimgglcphcoddjbobfmmdkpalj_1.0.3.zip,"[""declarativeNetRequest"", ""declarativeNetRequestFeedback""]",{},{},{},{}
deoolbnamlbffcceodhghnljbncffpio_1.0.3.zip,"[""tabs"", ""storage"", ""webRequest""]","{""document.cookie"": 2, ""new Blob"": 1}","{""fetch"": 4, ""new XMLHttpRequest"": 1}","{""setTimeout"": 12, ""document.createElement"": 3, ""document.querySelector"": 3, ""document.getElementById"": 3, ""setInterval"": 2, ""window.open"": 2, ""chrome.windows.create"": 1, ""chrome.tabs.create"": 1}","{""addEventListener"": 14}"
nlagohiloniblnbphoemmcogjbmdhdbh_1.0.zip,"[""alarms"", ""notifications"", ""storage""]",{},{},"{""document.getElementById"": 3, ""setInterval"": 2, ""chrome.notifications.create"": 1}","{""chrome.alarms.create"": 1, ""addEventListener"": 1}"
jahomhggpolhfjpomljoelcciaogmekh_4.0.0.zip,"[""tabs"", ""contextMenus""]",{},"{""fetch"": 2, ""new XMLHttpRequest"": 1}","{""document.createElement"": 12, ""setTimeout"": 4, ""chrome.tabs.create"": 3, ""setInterval"": 2, ""document.getElementById"": 1}","{""addEventListener"": 8, ""chrome.contextMenus.create"": 2}"
kbncelkcioaknlnjkkmiplnlnkkcbgpm_1.1.zip,"[""storage""]","{""new Blob"": 1}","{""fetch"": 1}","{""document.getElementById"": 28, ""document.createElement"": 6, ""document.querySelector"": 4, ""chrome.tabs.create"": 2}","{""addEventListener"": 22}"
ekhbcipncbkfpkaianbjbcbmfehjflpf_3.42.zip,"[""tabs"", ""webRequest"", ""downloads"", ""storage"", ""alarms"", ""declarativeNetRequest"", ""scripting"", ""webNavigation"", ""offscreen""]","{""new Blob"": 25, ""localStorage.getItem"": 22, ""file.name"": 10, ""localStorage.setItem"": 10, ""window.requestFileSystem"": 6}","{""fetch"": 115, ""new XMLHttpRequest"": 5, ""chrome.webRequest.onBeforeRequest.addListener"": 1}","{""setTimeout"": 111, ""document.getElementById"": 58, ""document.createElement"": 50, ""document.querySelector"": 44, ""setInterval"": 40, ""chrome.tabs.create"": 3, ""chrome.windows.create"": 1}","{""addEventListener"": 140, ""chrome.alarms.create"": 11, ""window.onbeforeunload"": 2, ""chrome.tabs.onActivated.addListener"": 1, ""window.confirm"": 1, ""window.prompt"": 1}"
adkompcgilgffklmdloimlghijmjbela_2.0.1.zip,"[""storage"", ""contextMenus""]",{},"{""fetch"": 1}","{""setTimeout"": 21, ""element.style"": 16, ""document.querySelector"": 14, ""setInterval"": 13, ""document.createElement"": 11, ""document.getElementById"": 2, ""canvas.getContext"": 1}","{""addEventListener"": 20, ""chrome.contextMenus.create"": 2}"
lehejnjdpfokhdbgdnecoigaelonneld_24.05.13 12132024.zip,"[""tabs"", ""activeTab"", ""storage"", ""alarms""]","{""indexedDB.open"": 2}","{""fetch"": 26}","{""document.getElementById"": 265, ""document.createElement"": 66, ""chrome.windows.create"": 8, ""setTimeout"": 3, ""chrome.tabs.create"": 3}","{""addEventListener"": 57, ""chrome.alarms.create"": 1}"
