Extension,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/jelokdfdipmincpfkbeafogkcimmfaie_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/fjloanfmldedeklicoenijiddfgipkke_2.1.11.zip,"tabs, downloads, management"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/dpfmcablghlljmibdidppeggbhhnhlfh_2.0.0.5.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/bhhddgpklpjchoemcgggncekimleaaok_1.3.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/fnnibnhiaepgmioomkknpcbomaogkdhn_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/cjbjooklbedommhdidncehmbalddjehe_1.1.0.zip,"clipboardWrite, webRequest, tabs, webRequestBlocking"
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/jkpbmimolehkdndejafglfkkecegoocd_1.0.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/icmpjbkbjlbfpimllboiokakocdgfijb_3.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/glepfgdhnbgohonamcddiocfajpjhdom_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/hpbcepobmhifanbjpghbcmjpiffeckfh_1.0.4.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/entertainment/lgokjbkagbigdeibejhbemhhfcobkmfd_0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/pajefbafpiobhdlacndlggikdkhdfobe_3.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/elnfdnpcmioiblhbichaacoghdhofeei_1.1.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ijgmchfimkocepiapjeoehcicfnhhchp_1.0.8.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/gcddknjhchnhegfnekbokipolcncpemi_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/mgpmbempbaokkngbjllmklggmakfabea_1.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/mmhkpecbaahjefijgadcdepkcfmafppb_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/ejeamoghipiaiakgpahfonkgejimghcg_0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/didcobbiinamepbjefakphdapmfpoegg_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/ppampiglggnmloiajkficghjdbmmlbgb_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ohlmameoemdaimknahlpgiadmomkkgfd_0.6.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/entertainment/bghnphaaibjaiemhbimbpeiicngheoeh_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/ggnedmfnobiflbhgnmjaccjnacippeme_1.2.2.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/odgheimmfdhcpbajpmlgbajpgcfnimgj_1.3.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/communication/polginkohgdapmmpppjgkekjcleopdpa_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/iiafcgcehacfjhpnblonfcmlcdglajnc_1.0.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/bbpbfkgigdkapgfiipkhknbpampmndfg_1.0.12.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/dcfpcmmamlcnmfgjlodkodgpbafklbpi_2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/glaffjplfihhkhanmgaajakfjfmjifng_1.zip,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ehekffhhobjogdcdafcfhkfpcpaeagnd_1.2.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/kmaaggblnpkbdhhpdachlcmpaieijkko_3.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/faliaflmfjklonlipbaebdhfkomlfjmi_0.17.20.zip,management
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/mcdaacllflfepdefllaofjbboojpfkpm_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/gofocbepaccnkpphbgjpolififgcakhn_1.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/liiilaihfbpmgfcbnlofbiceidbflndb_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/keonnkemholncgglhelpmfkjlmkaeeph_1.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/kbglolfonhbbekjfbnkiokbgedjbghmo_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/obcdmfbebdpnpclnndjehheeglabmffd_0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/hjaepmpnjjhlpbljbeajlhklcgflejgm_3.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/onodghihjdmnoclgpdbjdchamhbngjhb_0.1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/jdgjjnkgegjnomcafakkkkbjaaiiibie_1.0.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/pdgbmlhjjgaenhbmahiafcelnbbbopla_4.0.zip,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/edbhcnncibhjdeflaagkbdklifcdklmc_0.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/clgalhbnbekgfanfljjidnjcmgaieeha_3.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/imghjfnllcjhecfnkjjebmaihbhaedid_1.3.0.zip,None
