Extension Path,Extension ID,Extension Name,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/fjloanfmldedeklicoenijiddfgipkke_2.1.11.zip,fjloanfmldedeklicoenijiddfgipkke,2___ð¾â¢,"tabs, downloads, management"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/dpfmcablghlljmibdidppeggbhhnhlfh_2.0.0.5.zip,dpfmcablghlljmibdidppeggbhhnhlfh,SIAC,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/cjbjooklbedommhdidncehmbalddjehe_1.1.0.zip,cjbjooklbedommhdidncehmbalddjehe,URL blocker,"clipboardWrite, webRequest, tabs, webRequestBlocking"
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/jkpbmimolehkdndejafglfkkecegoocd_1.0.zip,jkpbmimolehkdndejafglfkkecegoocd,Theme Inverter,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/hpbcepobmhifanbjpghbcmjpiffeckfh_1.0.4.zip,hpbcepobmhifanbjpghbcmjpiffeckfh,My Space Tab,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/shopping/elnfdnpcmioiblhbichaacoghdhofeei_1.1.zip,elnfdnpcmioiblhbichaacoghdhofeei,ONEX.AM,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/odgheimmfdhcpbajpmlgbajpgcfnimgj_1.3.zip,odgheimmfdhcpbajpmlgbajpgcfnimgj,Secure Imgur!,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/bbpbfkgigdkapgfiipkhknbpampmndfg_1.0.12.zip,bbpbfkgigdkapgfiipkhknbpampmndfg,"Tabiola: Manage Tabs, Groups, Windows & Sessions",tabs
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/glaffjplfihhkhanmgaajakfjfmjifng_1.zip,glaffjplfihhkhanmgaajakfjfmjifng,Vivec TV,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/ehekffhhobjogdcdafcfhkfpcpaeagnd_1.2.zip,ehekffhhobjogdcdafcfhkfpcpaeagnd,GPTOnline - Free ChatGPT Extension,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/faliaflmfjklonlipbaebdhfkomlfjmi_0.17.20.zip,faliaflmfjklonlipbaebdhfkomlfjmi,Inlinecom,management
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/pdgbmlhjjgaenhbmahiafcelnbbbopla_4.0.zip,pdgbmlhjjgaenhbmahiafcelnbbbopla,Recent Bookmarks Popup,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/gdnafniaoemlofmmfejfldbofjeoconl_1.2.1.zip,gdnafniaoemlofmmfejfldbofjeoconl,Auth-HB,"cookies, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/bdmiecmfhhmbmakpafaicedhfdlaeedl_1.0.2.zip,bdmiecmfhhmbmakpafaicedhfdlaeedl,GrammaticGenius¢â,tabs
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/feldjmkkfokjainkaddkjmageenifppc_1.0.zip,feldjmkkfokjainkaddkjmageenifppc,Redirect to English GCP docs,"webRequest, webRequestBlocking"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/famgnfdcgclbjpmjdkodhbbeokinjefb_3.4.0.1.zip,famgnfdcgclbjpmjdkodhbbeokinjefb,CFCA CryptoKit.TengCloud Extension,nativeMessaging
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/nmheifgpcdedeemfkbccjikeecgfhaoh_1.1.zip,nmheifgpcdedeemfkbccjikeecgfhaoh,IntelliMark,"history, bookmarks, tabs"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/aneeijmdeahjkiegfhgngfbkcopllngo_0.1.3.zip,aneeijmdeahjkiegfhgngfbkcopllngo,Magic Point,tabs
