Category,API,Count
Network,fetch,13576
Network,new XMLHttpRequest,399
Network,navigator.sendBeacon,61
Network,chrome.identity.getAuthToken,50
Network,new WebSocket,43
Network,chrome.webRequest.onBeforeRequest.addListener,11
Network,chrome.proxy.settings.set,7
Network,chrome.webRequest.onHeadersReceived.addListener,5
Network,new RTCPeerConnection,3
Rendering,setTimeout,11394
Rendering,document.createElement,7078
Rendering,document.getElementById,5729
Rendering,document.querySelector,3928
Rendering,setInterval,1271
Rendering,new MutationObserver,566
Rendering,element.style,565
Rendering,chrome.tabs.create,502
Rendering,window.open,481
Rendering,canvas.getContext,102
Rendering,chrome.tabs.executeScript,62
Rendering,chrome.windows.create,57
Rendering,element.innerHTML,38
Rendering,chrome.notifications.create,26
Rendering,document.designMode,4
Rendering,document.appendChild,2
User Interaction,addEventListener,14719
User Interaction,chrome.contextMenus.create,190
User Interaction,chrome.alarms.create,50
User Interaction,window.prompt,45
User Interaction,window.alert,43
User Interaction,chrome.tabs.onActivated.addListener,31
User Interaction,window.confirm,20
User Interaction,document.onmousemove,17
User Interaction,chrome.permissions.request,5
User Interaction,document.onkeydown,5
User Interaction,chrome.notifications.onClicked.addListener,4
User Interaction,window.onbeforeunload,2
User Interaction,document.onkeypress,2
File System,localStorage.getItem,620
File System,new Blob,553
File System,localStorage.setItem,536
File System,document.cookie,307
File System,navigator.clipboard.writeText,182
File System,indexedDB.open,99
File System,file.name,86
File System,sessionStorage.setItem,80
File System,sessionStorage.getItem,80
File System,store.put,30
File System,file.size,21
File System,file.type,17
File System,navigator.clipboard.readText,11
File System,window.requestFileSystem,7
File System,"document.querySelector('input[type=""file""]')",1
File System,file.lastModified,1
