ZIP File,Permissions (manifest),Over Permissions,WASM Exist,Clipboard,Downloads,Storage,Tabs,Scripting,Identity,WebRequest,Bookmarks,History,Alarms,Notifications,Context Menus,File System,Network,Rendering,User Interaction,Unknown
hicchmdfaadkadnmmkdjmcilgaplfeoa_0.2.19.zip,"[""cookies"", ""*://localhost/*"", ""scripting"", ""storage"", ""*://*.linkedin.com/*"", ""webRequest"", ""*://*.sellscale.com/*"", ""activeTab""]",[],X,{},{},"{""chrome.storage.local.get"": 9, ""chrome.storage.local.set"": 8}","{""chrome.tabs.query"": 2, ""chrome.tabs.onUpdated.addListener"": 1}","{""chrome.scripting.executeScript"": 1}",{},{},{},{},{},{},{},"{""document.querySelector"": 13}","{""fetch"": 177, ""new XMLHttpRequest"": 1}","{""setTimeout"": 32, ""document.createElement"": 15, ""setInterval"": 5, ""window.open"": 2, ""document.getElementById"": 1, ""new MutationObserver"": 1}","{""addEventListener"": 39}",{}
oeanmebfgjdgmelhfphfcfodfinfiaho_1.0.5.zip,"[""tabs""]",[],X,{},{},{},"{""chrome.tabs.query"": 1}",{},{},{},{},{},{},{},{},"{""document.cookie"": 2, ""new Blob"": 1}","{""fetch"": 6, ""new XMLHttpRequest"": 1}","{""document.createElement"": 11, ""setTimeout"": 9, ""document.getElementById"": 1}","{""addEventListener"": 11}",{}
akjgeilpciajekhdkkomclnkmbapmfld_3.3.0.1000.zip,"[""identity"", ""<all_urls>"", ""favicon"", ""*://*/*"", ""bookmarks"", ""identity.email"", ""storage"", ""tabs"", ""desktopCapture""]","[""favicon""]",X,{},{},"{""chrome.storage.local.get"": 114, ""chrome.storage.local.set"": 91, ""chrome.storage.sync.set"": 20, ""chrome.storage.sync.get"": 12, ""localStorage.setItem"": 4, ""indexedDB.open"": 1}","{""chrome.tabs.remove"": 3, ""chrome.tabs.onUpdated.addListener"": 1, ""chrome.tabs.query"": 1, ""chrome.tabs.captureVisibleTab"": 1}",{},"{""chrome.identity.getAuthToken"": 5, ""chrome.identity.getProfileUserInfo"": 5}",{},"{""chrome.bookmarks.get"": 4}",{},{},{},{},"{""document.querySelector"": 16, ""localStorage.getItem"": 11, ""new Blob"": 8, ""file.name"": 4, ""store.put"": 2}","{""fetch"": 76, ""new XMLHttpRequest"": 2, ""navigator.sendBeacon"": 2, ""new RTCPeerConnection"": 1}","{""setTimeout"": 163, ""document.getElementById"": 108, ""document.createElement"": 47, ""chrome.windows.create"": 29, ""window.open"": 17, ""setInterval"": 15, ""new MutationObserver"": 4, ""canvas.getContext"": 2}","{""addEventListener"": 147}",{}
dpfmcablghlljmibdidppeggbhhnhlfh_2.0.0.5.zip,"[""declarativeContent"", ""tabs"", ""<all_urls>"", ""activeTab""]","[""activeTab"", ""tabs""]",X,{},{},"{""localStorage.setItem"": 7}",{},{},{},{},{},{},{},{},{},"{""localStorage.getItem"": 9}","{""new XMLHttpRequest"": 1}","{""setTimeout"": 5, ""chrome.declarativeContent.onPageChanged"": 2, ""document.getElementById"": 2, ""window.open"": 1, ""setInterval"": 1}","{""addEventListener"": 7}",{}
oigaibkppeamhdagigbnleokjolbdmfa_0.2.7.zip,"[""http://localhost:3000/*"", ""https://*.chatgpt.com/*"", ""activeTab"", ""storage"", ""clipboardRead""]","[""activeTab""]",X,"{""navigator.clipboard.readText"": 1, ""navigator.clipboard.writeText"": 1}",{},"{""chrome.storage.sync.get"": 8, ""chrome.storage.sync.set"": 5, ""localStorage.setItem"": 1}",{},{},{},{},{},{},{},{},{},"{""document.querySelector"": 24, ""file.name"": 2, ""new Blob"": 2, ""localStorage.getItem"": 1}","{""fetch"": 26}","{""document.createElement"": 68, ""document.getElementById"": 44, ""setTimeout"": 25, ""canvas.getContext"": 5, ""new MutationObserver"": 3, ""element.innerHTML"": 2, ""setInterval"": 1}","{""addEventListener"": 87}",{}
eckknmnfoohbeklmjlidmfdlakndcfkm_2.1.0.zip,"[""tabs"", ""storage""]",[],X,{},{},"{""chrome.storage.local.get"": 1, ""chrome.storage.local.set"": 1}","{""chrome.tabs.onUpdated.addListener"": 2, ""chrome.tabs.query"": 2}",{},{},{},{},{},{},{},{},{},"{""fetch"": 6}","{""element.style"": 3, ""document.getElementById"": 2, ""new MutationObserver"": 1, ""setTimeout"": 1}","{""addEventListener"": 7}",{}
gdbhjhheenfddpijobeagmogehcpakma_1.0.0.zip,"[""identity"", ""tabs"", ""*://*.supabase.co/*"", ""downloads"", ""*://*.tiktok.com/*"", ""storage""]",[],X,"{""navigator.clipboard.readText"": 3, ""navigator.clipboard.writeText"": 3}","{""chrome.downloads.download"": 3, ""chrome.downloads.search"": 2}","{""localStorage.setItem"": 11, ""chrome.storage.sync.get"": 3, ""chrome.storage.local.get"": 3, ""chrome.storage.local.set"": 2, ""chrome.storage.sync.set"": 2}","{""chrome.tabs.query"": 6}",{},"{""chrome.identity.launchWebAuthFlow"": 1}",{},{},{},{},{},{},"{""new Blob"": 34, ""document.querySelector"": 27, ""localStorage.getItem"": 11, ""file.name"": 2}","{""fetch"": 574, ""new XMLHttpRequest"": 13, ""new WebSocket"": 2}","{""setTimeout"": 186, ""document.createElement"": 63, ""document.getElementById"": 58, ""setInterval"": 18, ""new MutationObserver"": 12, ""window.open"": 2}","{""addEventListener"": 196}",{}
cblhanehfpljakpeihpepdehkchpafig_1.1.4.zip,"[""https://*.syncreads.com/*"", ""tabs"", ""cookies"", ""offscreen"", ""pageCapture""]",[],X,{},{},"{""localStorage.setItem"": 2}","{""chrome.tabs.query"": 1}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 5, ""localStorage.getItem"": 2}","{""fetch"": 287}","{""setTimeout"": 28, ""document.createElement"": 9, ""setInterval"": 5, ""new MutationObserver"": 1}","{""addEventListener"": 53}",{}
famgnfdcgclbjpmjdkodhbbeokinjefb_3.4.0.1.zip,"[""nativeMessaging"", ""http://*.perfectsign.com.cn/*"", ""https://*.perfectsign.com.cn/*""]",[],X,{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{},{}
hcegghofkifepkbnjonhfnfaigjnieme_1.5.0.zip,"[""identity"", ""tabs"", ""https://www.googleapis.com/*"", ""https://android.googleapis.com/gcm/send"", ""https://accounts.google.com/*"", ""storage""]",[],X,{},{},"{""chrome.storage.local.set"": 4, ""chrome.storage.local.get"": 3}","{""chrome.tabs.get"": 1}",{},"{""chrome.identity.getAuthToken"": 3}",{},{},{},{},{},{},{},"{""fetch"": 6, ""new XMLHttpRequest"": 5}","{""setTimeout"": 4, ""document.createElement"": 1, ""setInterval"": 1}","{""addEventListener"": 8}",{}
pkgnakbhlladihkaedolkimbjmnefkcg_1.6.0.zip,"[""tabs"", ""downloads"", ""notifications"", ""https://www.effess.in/api/*"", ""storage""]",[],X,{},"{""chrome.downloads.download"": 1}","{""chrome.storage.local.get"": 47, ""chrome.storage.local.set"": 37}","{""chrome.tabs.create"": 1, ""chrome.tabs.query"": 1, ""chrome.tabs.update"": 1, ""chrome.tabs.get"": 1, ""chrome.tabs.onUpdated.addListener"": 1}",{},{},{},{},{},{},"{""chrome.notifications.create"": 1}",{},"{""document.querySelector"": 28}","{""fetch"": 13}","{""setTimeout"": 59, ""element.style"": 37, ""document.createElement"": 19, ""setInterval"": 9, ""chrome.windows.create"": 3, ""document.getElementById"": 3}","{""addEventListener"": 66}",{}
cficgppodccgdnngonogbgnnibecabgo_1.0.zip,"[""management"", ""tabs"", ""bookmarks""]",[],X,{},{},{},"{""chrome.tabs.get"": 2}",{},{},{},"{""chrome.bookmarks.get"": 3}",{},{},{},{},{},"{""fetch"": 3}","{""setTimeout"": 18, ""document.createElement"": 16, ""setInterval"": 4, ""element.style"": 1, ""document.getElementById"": 1}","{""addEventListener"": 9}",{}
ojiighldhdmahfdnhfdebnpmlbiemdfm_9.13.0.29.zip,"[""tabs"", ""webNavigation"", ""activeTab"", ""scripting"", ""storage""]","[""activeTab"", ""scripting"", ""storage"", ""tabs"", ""webNavigation""]",X,{},{},"{""localStorage.setItem"": 1}",{},{},{},{},{},{},{},{},{},"{""document.querySelector"": 30, ""localStorage.getItem"": 2}","{""fetch"": 3}","{""setTimeout"": 53, ""document.createElement"": 20, ""document.getElementById"": 9, ""setInterval"": 5, ""canvas.getContext"": 2, ""window.open"": 1}","{""addEventListener"": 44}",{}
lnpjjeoabgjlmogohnopljcjoignaofa_0.2.2.zip,"[""tabs"", ""activeTab"", ""https://*/*"", ""storage""]","[""activeTab"", ""storage""]",X,{},{},"{""localStorage.setItem"": 3}",{},{},{},{},{},{},{},{},{},"{""localStorage.getItem"": 3}","{""fetch"": 134, ""new WebSocket"": 1}","{""setTimeout"": 19, ""document.createElement"": 9, ""setInterval"": 3, ""document.getElementById"": 1, ""new MutationObserver"": 1, ""window.open"": 1}","{""addEventListener"": 31}",{}
ndnbpbolkacjjcjhmgfoleilolocmnhg_1.1.0.zip,"[""tabs"", ""cookies"", ""notifications"", ""alarms"", ""storage""]",[],X,{},{},"{""indexedDB.open"": 4, ""chrome.storage.local.get"": 1, ""chrome.storage.local.set"": 1, ""localStorage.setItem"": 1}","{""chrome.tabs.create"": 4, ""chrome.tabs.query"": 1}",{},{},{},{},{},"{""chrome.alarms.create"": 2, ""chrome.alarms.onAlarm.addListener"": 1}","{""chrome.notifications.create"": 1}",{},"{""document.cookie"": 7, ""document.querySelector"": 1, ""localStorage.getItem"": 1}","{""fetch"": 39}","{""setTimeout"": 28, ""document.createElement"": 13, ""window.open"": 4, ""setInterval"": 2}","{""addEventListener"": 27}",{}
pnaedlhkmadjdgjkenjmaepfaiiioocc_1.3.13.zip,"[""identity"", ""tabs"", ""https://mail.google.com/*"", ""storage"", ""scripting"", ""identity.email""]",[],O,{},{},"{""localStorage.setItem"": 9, ""chrome.storage.local.set"": 2, ""chrome.storage.sync.get"": 2, ""chrome.storage.sync.set"": 2, ""chrome.storage.local.get"": 1}","{""chrome.tabs.create"": 1, ""chrome.tabs.query"": 1, ""chrome.tabs.remove"": 1, ""chrome.tabs.onUpdated.addListener"": 1}","{""chrome.scripting.executeScript"": 1}","{""chrome.identity.getProfileUserInfo"": 1}",{},{},{},{},{},{},"{""document.querySelector"": 87, ""localStorage.getItem"": 7, ""new Blob"": 4}","{""fetch"": 44, ""new XMLHttpRequest"": 12}","{""document.createElement"": 181, ""setTimeout"": 97, ""element.style"": 22, ""setInterval"": 11, ""new MutationObserver"": 10, ""window.open"": 9, ""element.innerHTML"": 7, ""document.getElementById"": 4}","{""addEventListener"": 130}",{}
nmheifgpcdedeemfkbccjikeecgfhaoh_1.1.zip,"[""tabs"", ""history"", ""activeTab"", ""bookmarks"", ""storage""]","[""activeTab""]",X,{},{},"{""chrome.storage.local.get"": 4, ""chrome.storage.local.set"": 4}","{""chrome.tabs.update"": 2, ""chrome.tabs.create"": 1, ""chrome.tabs.onUpdated.addListener"": 1, ""chrome.tabs.query"": 1}",{},{},{},"{""chrome.bookmarks.get"": 1}","{""chrome.history.search"": 1}",{},{},{},"{""document.querySelector"": 13}","{""fetch"": 1}","{""document.getElementById"": 10, ""setTimeout"": 2, ""document.createElement"": 1}","{""addEventListener"": 6}",{}
jkfkgfpnplkbmjdppcgijopbjegndfhc_1.2.3.zip,"[""tabs"", ""storage"", ""activeTab""]","[""activeTab""]",X,{},{},"{""chrome.storage.local.set"": 8, ""chrome.storage.local.get"": 5}","{""chrome.tabs.query"": 9, ""chrome.tabs.update"": 2, ""chrome.tabs.create"": 2}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 10, ""new Blob"": 2, ""document.cookie"": 2}","{""fetch"": 10, ""new XMLHttpRequest"": 1}","{""document.createElement"": 16, ""setTimeout"": 15, ""setInterval"": 5, ""window.open"": 5, ""new MutationObserver"": 3, ""document.getElementById"": 1}","{""addEventListener"": 10, ""window.onbeforeunload"": 7, ""window.confirm"": 1}",{}
eggaiijmdfebpjlldggopkgbkbmlgolc_1.4.1.zip,"[""http://*/*"", ""tabs"", ""https://*/*"", ""webNavigation"", ""contextMenus""]",[],X,{},{},"{""localStorage.setItem"": 1}","{""chrome.tabs.query"": 4, ""chrome.tabs.get"": 3, ""chrome.tabs.update"": 2, ""chrome.tabs.create"": 1, ""chrome.tabs.remove"": 1, ""chrome.tabs.onActivated.addListener"": 1}",{},{},{},{},{},{},"{""chrome.notifications.create"": 1, ""chrome.notifications.onClicked.addListener"": 1}","{""chrome.contextMenus.create"": 1}","{""localStorage.getItem"": 1}","{""fetch"": 7, ""new XMLHttpRequest"": 4}","{""setTimeout"": 15, ""setInterval"": 4, ""document.getElementById"": 3, ""document.createElement"": 2, ""canvas.getContext"": 1, ""chrome.windows.create"": 1}","{""addEventListener"": 39}",{}
kdchfpnbblcmofemnhnckhjfjndcibej_1.0.1.zip,"[""<all_urls>"", ""downloads"", ""contentSettings"", ""tabCapture"", ""scripting"", ""alarms"", ""storage""]",[],X,{},"{""chrome.downloads.download"": 1}","{""chrome.storage.local.set"": 5, ""chrome.storage.local.get"": 3}","{""chrome.tabs.get"": 3, ""chrome.tabs.query"": 1}","{""chrome.scripting.executeScript"": 1}",{},{},{},{},"{""chrome.alarms.create"": 1, ""chrome.alarms.onAlarm.addListener"": 1}",{},{},"{""new Blob"": 3, ""document.querySelector"": 2}","{""fetch"": 14}","{""setTimeout"": 29, ""document.createElement"": 14, ""setInterval"": 3, ""chrome.windows.create"": 1, ""document.getElementById"": 1}","{""addEventListener"": 24}",{}
lbenbpjiigbogcmofbmoojbkojdmojfl_4.8.3.zip,"[""https://*.amazon.it/*"", ""history"", ""https://*.disneyplus.com/*"", ""tabs"", ""https://*.yougov.com/*"", ""https://search-api-disney.svcs.dssott.com/*"", ""https://*.googletagmanager.com/*"", ""https://*.hotstar.com/*"", ""https://netflix.com/"", ""https://disney.content.edge.bamgrid.com/*"", ""https://*.amazon.ca/*"", ""https://*.primevideo.com/*"", ""scripting"", ""storage"", ""https://*.amazon.fr/*"", ""https://*.youtube.com/*"", ""https://*.amazon.de/*"", ""webRequest"", ""https://*.amazon.com.mx/*"", ""https://*.amazon.co.uk/*"", ""https://*.netflix.com/*"", ""https://*.google-analytics.com/*"", ""downloads"", ""downloads.ui"", ""https://*.amazon.com.au/*"", ""https://*.hbomax.com/*"", ""https://youtube.com/"", ""alarms"", ""declarativeNetRequest"", ""https://*.amazon.pl/*"", ""https://*.spotify.com/*"", ""https://*.max.com/*"", ""https://api.rollbar.com/*"", ""https://content.global.edge.bamgrid.com/*"", ""https://*.peacocktv.com/*"", ""https://*.amazon.com.br/*"", ""notifications"", ""https://*.amazon.com/*"", ""https://*.amazon.se/*"", ""https://*.apple.com/*"", ""https://*.amazon.in/*"", ""https://*.amazon.nl/*"", ""https://*.amazon.es/*""]",[],X,{},{},"{""sessionStorage.getItem"": 11, ""chrome.storage.local.get"": 9, ""chrome.storage.local.set"": 6, ""indexedDB.open"": 2, ""localStorage.setItem"": 1}","{""chrome.tabs.update"": 14, ""chrome.tabs.create"": 8, ""chrome.tabs.query"": 6, ""chrome.tabs.get"": 4, ""chrome.tabs.remove"": 4}","{""chrome.scripting.registerContentScripts"": 2}",{},"{""chrome.webRequest.onBeforeRequest"": 16, ""chrome.webRequest.onCompleted"": 10}",{},"{""chrome.history.search"": 2}","{""chrome.alarms.create"": 4, ""chrome.alarms.clear"": 4, ""chrome.alarms.onAlarm.addListener"": 4}","{""chrome.notifications.create"": 2, ""chrome.notifications.clear"": 2, ""chrome.notifications.onClicked.addListener"": 2}",{},"{""document.querySelector"": 50, ""sessionStorage.setItem"": 13, ""localStorage.getItem"": 6, ""document.cookie"": 4, ""new Blob"": 2}","{""fetch"": 184, ""new XMLHttpRequest"": 5}","{""setTimeout"": 81, ""setInterval"": 17, ""window.open"": 9, ""document.createElement"": 8, ""new MutationObserver"": 1}","{""addEventListener"": 101, ""chrome.permissions.request"": 1}",{}
hiagdmggfdceojcpbnjeelkcmmmbjdkp_3.0.zip,"[""tabs"", ""storage""]",[],X,{},{},"{""chrome.storage.local.get"": 6, ""chrome.storage.local.set"": 6}","{""chrome.tabs.create"": 1, ""chrome.tabs.query"": 1}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 2}",{},"{""document.createElement"": 11, ""document.getElementById"": 11}","{""addEventListener"": 12}",{}
pdaociefbdibmlmebaflgmjilnljkcpn_1.5.zip,"[""tabs"", ""https://*/*"", ""storage"", ""http://*/*""]",[],X,{},{},"{""chrome.storage.sync.get"": 2, ""chrome.storage.sync.set"": 1}","{""chrome.tabs.get"": 1, ""chrome.tabs.onUpdated.addListener"": 1, ""chrome.tabs.onActivated.addListener"": 1, ""chrome.tabs.query"": 1, ""chrome.tabs.executeScript"": 1}",{},{},{},{},{},{},{},{},"{""document.querySelector"": 2}","{""new XMLHttpRequest"": 1}","{""document.getElementById"": 8, ""setTimeout"": 5, ""element.innerHTML"": 2, ""setInterval"": 1}","{""addEventListener"": 11}",{}
