ZIP File,Permissions,File System,Network,Rendering,User Interaction
eojdckfcadamkapabechhbnkleligand_40.4.zip,"[""notifications"", ""cookies"", ""storage"", ""unlimitedStorage"", ""declarativeNetRequest""]",{},"{""fetch"": 6}","{""chrome.tabs.create"": 3, ""chrome.notifications.create"": 2}",{}
obngoldljmnnpggbekneikaohbeflbee_2.2.2.zip,[],"{""localStorage.setItem"": 3, ""localStorage.getItem"": 3, ""navigator.clipboard.writeText"": 2}","{""fetch"": 7, ""new XMLHttpRequest"": 1}","{""setTimeout"": 29, ""document.createElement"": 28, ""document.getElementById"": 11, ""document.querySelector"": 7, ""window.open"": 6, ""new MutationObserver"": 3, ""setInterval"": 3, ""element.style"": 2}","{""addEventListener"": 31}"
ghndmmdafildlhbegmmdaaombhlkhmjf_5.4.zip,"[""scripting"", ""activeTab"", ""storage""]","{""localStorage.getItem"": 10, ""localStorage.setItem"": 5}","{""fetch"": 12}","{""document.getElementById"": 29, ""document.createElement"": 9, ""document.querySelector"": 4, ""setTimeout"": 3, ""window.open"": 1, ""chrome.tabs.create"": 1}","{""addEventListener"": 18}"
ffebmlldmkodjnmodagkmlhfafifjkll_1.0.11.zip,"[""storage"", ""tabs"", ""webNavigation"", ""activeTab"", ""scripting"", ""windows"", ""contextMenus""]","{""indexedDB.open"": 3, ""store.put"": 2}","{""fetch"": 10}","{""document.getElementById"": 69, ""document.createElement"": 36, ""document.querySelector"": 11, ""setTimeout"": 4, ""chrome.tabs.create"": 3, ""setInterval"": 3}","{""addEventListener"": 20, ""chrome.contextMenus.create"": 1}"
jpbhgbmcgmoidknfbieblbgaicoianjm_1.0.3.zip,"[""scripting"", ""activeTab"", ""tabs""]",{},"{""new XMLHttpRequest"": 1}","{""document.getElementById"": 19, ""document.createElement"": 1, ""chrome.tabs.create"": 1}","{""addEventListener"": 5}"
hfacaegmldmpapapbipahgpdeboingpk_2.0.1.1.zip,"[""scripting"", ""storage"", ""background""]","{""localStorage.setItem"": 9, ""localStorage.getItem"": 7, ""new Blob"": 3}","{""fetch"": 45}","{""document.createElement"": 154, ""setTimeout"": 115, ""document.querySelector"": 84, ""element.style"": 22, ""window.open"": 14, ""setInterval"": 12, ""new MutationObserver"": 11, ""chrome.tabs.create"": 10, ""element.innerHTML"": 7, ""document.getElementById"": 4, ""chrome.windows.create"": 2}","{""addEventListener"": 138}"
eelpggcbadippcjnpngcekhcohnjliam_1.0.1500.zip,"[""storage"", ""power"", ""unlimitedStorage"", ""identity"", ""activeTab"", ""tabCapture"", ""offscreen"", ""scripting"", ""alarms"", ""desktopCapture""]","{""new Blob"": 1, ""indexedDB.open"": 1}","{""fetch"": 8}","{""document.getElementById"": 81, ""chrome.tabs.create"": 9, ""document.querySelector"": 8, ""document.createElement"": 5, ""setTimeout"": 5, ""new MutationObserver"": 3, ""setInterval"": 3}","{""addEventListener"": 37, ""document.onmousemove"": 2, ""chrome.alarms.create"": 2}"
fjgeaplonhhngcabcecdnphkfgjgoaie_1.0.zip,[],{},{},"{""document.getElementById"": 7}","{""addEventListener"": 3}"
pmegedeelnngffpekjhikkadonfmnnef_2.4.4.zip,"[""storage""]","{""localStorage.setItem"": 6, ""localStorage.getItem"": 4, ""new Blob"": 4}","{""fetch"": 32, ""new XMLHttpRequest"": 2, ""navigator.sendBeacon"": 2}","{""setTimeout"": 59, ""document.querySelector"": 36, ""document.createElement"": 35, ""document.getElementById"": 17, ""setInterval"": 15, ""new MutationObserver"": 3, ""window.open"": 2}","{""addEventListener"": 105}"
gkbmoloegjgdnmhlfnfcaihiblnckikd_1.2.zip,"[""activeTab"", ""storage"", ""unlimitedStorage"", ""power""]","{""file.size"": 17, ""file.name"": 8, ""file.type"": 8, ""new Blob"": 8, ""localStorage.getItem"": 7, ""sessionStorage.getItem"": 2, ""localStorage.setItem"": 1}","{""fetch"": 27, ""new XMLHttpRequest"": 4, ""navigator.sendBeacon"": 2}","{""setTimeout"": 74, ""document.getElementById"": 30, ""document.createElement"": 18, ""document.querySelector"": 17, ""setInterval"": 15, ""chrome.tabs.create"": 2, ""window.open"": 1}","{""addEventListener"": 127, ""document.onmousemove"": 2, ""window.onbeforeunload"": 2, ""document.onkeydown"": 1}"
