Extension,Permissions
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/lhfkmfkjjeilbgfolpcndcbdgbdhbnlk_1.0.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/privacy/gbibjhklibaifjljkoflebjidnnommdg_0.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/hdhininicfohfmmamjogkcaljkmafjbi_0.1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/lnkhijbapkhagnoljhpecdfnidhcjhin_0.1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/acafiaeiikbocfaieipifldjpjhphiic_1.5.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/ffpkcknolpnlaecifjnpembbfnbknahd_0.0.8.zip,webRequest
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jeeognbpmiokkoobpmoonkbjalbdeklf_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/gfhcdakcnpahfdealajmhcapnhhablbp_1.4.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/fpembddbpjihnfifihmeiaidmigmmgfm_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/dcdjhpkampgckpejeeckifnmlmijjilm_3.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/filcdchddjiekgohoaojfoofhbfbamig_1.1.4.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/jicncdodkpdlndbppohjljcggoemckjp_0.1.9.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/kepapiglbafbpefiljfnibomomomhplp_0.0.10.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/bgncpgkglblopefkfibgdmobhjgcohai_1.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/fun/bpfchhngjnpkfdhgnnlcgcfmdhgghlbk_2.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/fjbegfkmkcjknjkkcebnejcpdchpadpc_0.3.43.zip,cookies
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/balnnhmcmbdbeajmdgcphgaabkjeoonm_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/dcdhcaglkmmilfbhlohmmoicfikdkmbe_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/gdmkcblhddhhfejpfbjomilpgpbpjhhg_1.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/artist/cohacaeegeghkplkhbghmkamlncnfjnk_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/mmphaakmblndlfnagpndbpmfaecggkdn_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/hapeijdlgbbhjmijhmgggnakcgdcpfap_0.3.7.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/communication/bflmldabbhfenmipghfdcajbeljmkmbl_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/mlgicmacgnloflibjaidfcmpemnmlkci_4.2.2.zip,"cookies, downloads"
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/edjnkhdbibdhkeakapmklklbfealkneh_1.4.0.zip,webRequest
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/news/paghgeajafnlniolpfmelndaffeblceb_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/ifanifpllnaecaflcehmddimkekeghhg_1.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/iaihnaebfnekbaigahlcpdinadenmijl_1.10.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/edddbanaflbdnbejiodncipepkoamfgd_2.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/hgnncdkkohjhkbonhheddfhcmhdfkaoe_0.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/kgpnjapfkjbidglgjnlkflhpcbapibld_2.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/beicplgjaeliclenmidelkloajghllll_0.2.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/functionality/iikdjgfpolhekhbhoheljcgiicanagln_1.2.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/kmbddcbmgnniadjbfbcalifdnaehicko_2.5.0.zip,bookmarks
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/jejfgnokcpjlpjbjgmgepglcdnhmedpj_2.0.zip,downloads
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/art/nnjfeknjlolgchclckhjpfjeoibbajgi_1.0.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/games/ganbipgooebabahkemagcehplknpffgk_202.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/fpcfpmdeagolgbijbhbmaelnenmnlaml_1.0.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/jdecadlmjniciaafkddjiohhbcjgklgf_0.0.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/magbhghfamcmbepafbkphcbdcgcjokkk_1.1.0.zip,clipboardRead
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/developer/eninmbcjhjmnhpaklapabcjggciljkkl_2.9.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/jfgfiigpkhlkbnfnbobbkinehhfdhndo_1.4.2.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/make_chrome_yours/accessibility/ofljijikiakjkfjjhkmalhcjdhndcofl_1.1.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/tools/gbcfeadmefgagdjncnlfbfmcgpghmnbg_0.0.3.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/lifestyle/social/opkhleeageokmaebaggchkpmlpillocl_1.0.zip,None
/home/minhyuk/Desktop/Download_extension/Extensions/productivity/workflow/pdnghfhgjanphgppdekhjcflodlplffk_0.4.zip,None
